0|3|-1
1|0|0
2|3|0
3|3|0
4|3|0
5|3|-1
6|3|-1
7|3|4
8|0|4
9|0|0
10|0|4
11|3|4
12|0|0
13|0|4
14|2|0
15|0|4
16|2|4
17|2|4
18|2|4
19|0|0
20|2|0
21|2|4
22|0|4
23|3|4
24|2|4
25|3|4
26|2|0
27|0|0
28|0|4
29|2|4
30|0|0
31|0|4
32|2|0
33|2|0
34|0|4
35|3|4
36|0|0
37|2|4
38|0|0
39|0|4
40|0|0
41|0|0
42|0|0
43|3|4
44|0|0
45|0|4
46|0|4
47|2|4
48|3|0
49|0|0
50|3|4
51|0|0
52|2|0
53|2|4
54|2|0
55|0|4
56|2|4
57|0|4
58|0|4
59|2|0
60|0|0
61|0|4
62|2|4
63|3|0
64|2|4
65|3|0
66|0|0
67|0|0
68|0|4
69|2|0
70|0|4
71|0|0
72|0|0
73|0|4
74|0|0
75|0|0
76|0|0
77|0|4
78|0|4
79|2|4
80|0|0
81|0|4
82|2|0
83|2|0
84|2|0
85|2|4
86|0|4
87|3|0
88|2|0
89|0|4
90|0|4
91|3|4
92|0|4
93|0|0
94|0|4
95|2|0
96|2|4
97|2|0
98|3|0
99|3|4
100|0|4
101|2|0
102|0|4
103|0|4
104|0|0
105|0|4
106|0|0
107|0|4
108|3|4
109|2|0
110|0|4
111|0|0
112|2|4
113|0|4
114|0|4
115|2|0
116|3|0
117|2|0
118|0|0
119|2|0
120|0|4
121|0|4
122|2|4
123|0|0
124|2|0
125|2|0
126|3|0
127|0|4
128|3|0
129|0|4
130|0|4
131|2|4
132|0|0
133|0|0
134|0|0
135|0|0
136|0|4
137|2|4
138|0|4
139|2|0
140|0|4
141|2|4
142|2|0
143|2|0
144|3|0
145|0|4
146|2|0
147|3|4
148|0|0
149|2|4
150|2|4
151|2|0
152|3|0
153|2|4
154|0|0
155|3|4
156|2|4
157|2|4
158|3|4
159|2|0
160|2|4
161|2|0
162|3|4
163|0|0
164|3|0
165|3|4
166|0|4
167|2|4
168|2|4
169|0|0
170|2|0
171|2|0
172|0|0
173|0|4
174|0|0
175|2|0
176|3|0
177|0|0
178|3|0
179|0|4
180|3|4
181|2|0
182|0|4
183|2|0
184|0|4
185|0|0
186|0|0
187|0|0
188|0|4
189|0|0
190|0|0
191|3|4
192|3|4
193|0|4
194|2|4
195|0|4
196|0|0
197|0|0
198|0|4
199|0|4
200|0|0
201|0|4
202|2|0
203|0|4
204|0|4
205|3|4
206|0|0
207|0|1
208|1|0
209|1|1
210|0|1
211|1|0
212|1|1
213|0|1
214|1|0
215|1|0
216|1|0
217|0|1
218|1|0
219|0|0
220|0|0
221|0|1
222|0|0
223|1|1
224|1|0
225|1|1
226|0|1
227|1|1
228|0|1
229|0|0
230|0|1
231|0|0
232|0|1
233|1|0
234|0|0
235|1|0
236|1|0
237|0|1
238|1|1
239|0|1
240|0|0
241|0|1
242|0|1
243|0|0
244|0|0
245|0|1
246|1|1
247|0|0
248|1|1
249|0|0
250|1|0
251|1|1
252|1|1
253|0|1
254|0|1
255|1|1
256|0|0
257|1|1
258|1|0
259|1|0
260|1|1
261|0|0
262|0|1
263|0|0
264|1|0
265|1|0
266|1|0
267|0|1
268|0|1
269|0|1
270|0|0
271|0|1
272|1|1
273|0|1
274|0|0
275|0|0
276|0|1
277|0|1
278|1|0
279|0|0
280|0|0
281|0|1
282|1|1
283|0|1
284|0|1
285|1|0
286|1|1
287|0|1
288|0|1
289|0|0
290|0|0
291|1|0
292|1|1
293|0|1
294|1|1
295|0|0
296|0|1
297|0|0
298|0|0
299|0|1
300|0|1
301|0|1
302|0|0
303|1|0
304|0|0
305|1|1
306|0|1
307|0|1
308|1|0
309|0|0
310|0|1
311|1|0
312|0|1
313|1|1
314|1|0
315|1|0
316|0|1
317|0|0
318|1|1
319|0|0
320|0|0
321|0|0
322|1|1
323|1|1
324|0|1
