Rating(1,9992,1.9852515433810045)
Rating(1,13880,1.9852515433810045)
Rating(1,10024,1.9852515433810045)
Rating(1,10288,1.9852515433810045)
Rating(1,10312,1.9852515433810045)
Rating(1,10336,1.9852515433810045)
Rating(1,10376,1.9852515433810045)
Rating(1,10420,1.9852515433810045)
Rating(1,10440,1.9852515433810045)
Rating(1,10452,1.9852515433810045)
Rating(1,10464,1.9852515433810045)
Rating(1,10508,1.9852515433810045)
Rating(1,10524,1.9852515433810045)
Rating(1,10532,1.9852515433810045)
Rating(1,10572,1.9852515433810045)
Rating(1,10612,1.9852515433810045)
Rating(1,10636,1.9852515433810045)
Rating(1,10652,1.9852515433810045)
Rating(1,10664,1.9852515433810045)
Rating(1,10684,1.9852515433810045)
Rating(1,10692,1.9852515433810045)
Rating(1,10720,1.9852515433810045)
Rating(1,10900,1.9852515433810045)
Rating(1,10912,1.9852515433810045)
Rating(1,10920,1.9852515433810045)
Rating(1,10940,1.9852515433810045)
Rating(1,10944,1.9852515433810045)
Rating(1,10968,1.9852515433810045)
Rating(1,10988,1.9852515433810045)
Rating(1,11012,1.9852515433810045)
Rating(1,11028,1.9852515433810045)
Rating(1,11044,1.9852515433810045)
Rating(1,11064,1.9852515433810045)
Rating(1,11088,1.9852515433810045)
Rating(1,11148,1.9852515433810045)
Rating(1,11160,1.9852515433810045)
Rating(1,11240,1.9852515433810045)
Rating(1,11256,1.9852515433810045)
Rating(1,11280,1.9852515433810045)
Rating(1,11336,1.9852515433810045)
Rating(1,11392,1.9852515433810045)
Rating(1,11408,1.9852515433810045)
Rating(1,11460,1.9852515433810045)
Rating(1,11464,1.9852515433810045)
Rating(1,11540,1.9852515433810045)
Rating(1,11564,1.9852515433810045)
Rating(1,11688,1.9852515433810045)
Rating(1,11716,1.9852515433810045)
Rating(1,11720,1.9852515433810045)
Rating(1,11776,1.9852515433810045)
Rating(1,11860,1.9852515433810045)
Rating(1,11880,1.9852515433810045)
Rating(1,11888,1.9852515433810045)
Rating(1,11940,1.9852515433810045)
Rating(1,11944,1.9852515433810045)
Rating(1,11996,1.9852515433810045)
Rating(1,12008,1.9852515433810045)
Rating(1,12060,1.9852515433810045)
Rating(1,12080,1.9852515433810045)
Rating(1,12164,1.9852515433810045)
Rating(1,12208,1.9852515433810045)
Rating(1,12356,1.9852515433810045)
Rating(1,12380,1.9852515433810045)
Rating(1,12416,1.9852515433810045)
Rating(1,12504,1.9852515433810045)
Rating(1,12536,1.9852515433810045)
Rating(1,12580,1.9852515433810045)
Rating(1,12612,1.9852515433810045)
Rating(1,12664,1.9852515433810045)
Rating(1,12756,1.9852515433810045)
Rating(1,12780,1.9852515433810045)
Rating(1,12888,1.9852515433810045)
Rating(1,12932,1.9852515433810045)
Rating(1,12980,1.9852515433810045)
Rating(1,13016,1.9852515433810045)
Rating(1,13020,1.9852515433810045)
Rating(1,13056,1.9852515433810045)
Rating(1,13100,1.9852515433810045)
Rating(1,13132,1.9852515433810045)
Rating(1,13136,1.9852515433810045)
Rating(1,13220,1.9852515433810045)
Rating(1,13244,1.9852515433810045)
Rating(1,13280,1.9852515433810045)
Rating(1,13336,1.9852515433810045)
Rating(1,13368,1.9852515433810045)
Rating(1,13404,1.9852515433810045)
Rating(1,13420,1.9852515433810045)
Rating(1,13436,1.9852515433810045)
Rating(1,13448,1.9852515433810045)
Rating(1,13480,1.9852515433810045)
Rating(1,13564,1.9852515433810045)
Rating(1,13636,1.9852515433810045)
Rating(1,13660,1.9852515433810045)
Rating(1,13676,1.9852515433810045)
Rating(1,13712,1.9852515433810045)
Rating(1,13740,1.9852515433810045)
Rating(1,13776,1.9852515433810045)
Rating(1,13840,1.9852515433810045)
Rating(1,13860,1.9852515433810045)
Rating(1,13876,1.9852515433810045)
